4,4,14,21,30,30,31,31,34,34,34,6,6,6,11,12,13,20,23,23,23,26,26,26,33,39,7,7,9,17,17,17,19,19,29,32,37,37,37,39,6,11,16,20,21,24,3,3,6,8,10,11,12,12,13,31,32,32,32,32,32,6,6,6,10,10,11,11,12,12,16,16,20,26,26,26,30,33,36,39,39,39,3,14,14,14,32,34,34,34,7,7,7,9,9,17,17,17,19,19,19,27,29,37,37,10,10,12,30,32,32,2,10,31,5,5,11,20,25,16,26,26,36,36,3,10,11,15,28,30,35,3,6,12,14,14,16,31,31,34,34,34,4,12,12,12,32,32
164,334,418,162,84,248,82,470,84,252,416,42,208,374,136,36,20,24,32,136,324,42,208,376,32,44,214,380,462,132,296,464,212,378,294,188,132,298,464,380,320,114,70,178,82,90,134,466,180,30,454,28,52,218,310,196,52,146,218,312,384,122,290,456,210,378,64,414,142,312,210,378,292,124,290,456,378,146,210,122,288,454,444,114,282,448,114,116,282,448,116,284,450,204,370,34,202,370,122,286,454,118,372,34,370,120,288,188,288,202,298,6,6,6,336,478,250,474,478,238,154,320,68,404,492,494,494,494,494,494,494,174,346,384,52,386,262,52,218,50,218,386,242,114,280,448,282,448
0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.84853,0.95244,0.95244,0.95244,0.95244,1.0691,0.95244,0.84853,1.0691,0.95244,1.0691,1.0691,0.95244,0.95244,0.95244,0.95244,0.95244,1.0691,0.95244,0.95244,0.84853,1.0691,0.95244,0.95244,0.95244,0.95244,0.84853,0.95244,0.95244,0.95244,0.95244,0.84853,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.84853,0.95244,0.95244,0.84853,0.84853,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,1.0691,0.95244,0.95244,0.95244,0.84853,0.84853,1.0691,1.0691,0.95244,0.95244,0.95244,0.84853,0.84853,0.95244,0.95244,0.95244,0.84853,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,1.0691,1.0691,1.0691,1.0691,1.0691,0.95244,0.95244,1.0691,0.95244,1.0691,1.0691,0.95244,0.95244,0.95244,0.95244,0.95244,1.0691,0.84853,0.84853,0.84853,0.84853,0.84853,0.84853,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244,0.95244
5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,6.4,5.7018,5.0797,6.4,5.7018,6.4,6.4,5.7018,5.7018,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,5.0797,6.4,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.0797,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,5.7018,5.0797,5.0797,6.4,6.4,5.7018,5.7018,5.7018,5.0797,5.0797,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,6.4,6.4,6.4,6.4,6.4,5.7018,5.7018,6.4,5.7018,6.4,6.4,5.7018,5.7018,5.7018,5.7018,5.7018,6.4,5.0797,5.0797,5.0797,5.0797,5.0797,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.50752,-1.901,-0.92557,0.0068573,-0.11389,-0.24289,0.76337,-2.1192,-0.74442,-1.125,-0.34384,3.0674,3.4598,2.7341,-1.1186,0.32973,3.4792,-0.75724,4.4092,4.7445,-1.1643,3.6791,3.5482,3.1493,-0.61613,-3.9803,3.3681,3.2376,-3.2361,0.11344,1.6271,0.41961,-4.0445,-4.1317,-3.6997,-2.6066,0.80154,0.59825,0.50071,-3.9513,-0.88247,-1.7103,-1.5921,1.9432,-0.075964,-0.6169,4.2422,4.731,-1.6869,-0.81039,-2.7193,-0.60576,3.7712,4.3414,2.7639,-0.84767,3.8467,-0.092238,3.6877,-0.5572,3.8686,1.8978,2.6524,2.6402,1.3884,-0.085692,-2.6483,1.1958,0.62459,-0.0023023,0.43574,1.8328,1.0565,2.5742,2.487,2.2063,1.0167,3.9934,1.6641,-1.3758,-1.8713,-1.1107,-0.30013,1.229,0.51179,1.6897,3.3352,1.7424,1.3925,1.6856,-1.4954,-0.5341,-1.1694,-1.2095,-0.8129,-0.085988,-0.78188,-1.0039,-1.5825,-1.2922,-1.3483,-0.30574,-0.70009,-0.44164,-0.6192,-2.8819,-1.1971,-1.6417,-1.8616,0.96049,-0.8515,6.1438,5.9515,10.613,3.2698,-2.6423,0.87398,-3.8435,-2.4167,-1.8816,-2.071,-2.2423,-2.0724,-2.3753,6.0318,7.1493,11.514,5.7843,8.3202,7.1575,5.3486,0.94199,-0.0075142,3.546,1.4084,1.7072,-1.5454,2.2952,1.9691,2.2088,1.3806,1.8281,-0.60573,3.6892,3.4576,3.6106,3.8094,3.5297
-0.50752,-1.901,-0.92557,0.0068573,-0.11389,-0.24289,0.76337,-2.1192,-0.74442,-1.125,-0.34384,3.0674,3.4598,2.7341,-1.1186,0.32973,3.4792,-0.75724,4.4092,4.7445,-1.1643,3.6791,3.5482,3.1493,-0.61613,-3.9803,3.3681,3.2376,-3.2361,0.11344,1.6271,0.41961,-4.0445,-4.1317,-3.6997,-2.6066,0.80154,0.59825,0.50071,-3.9513,-0.88247,-1.7103,-1.5921,1.9432,-0.075964,-0.6169,4.2422,4.731,-1.6869,-0.81039,-2.7193,-0.60576,3.7712,4.3414,2.7639,-0.84767,3.8467,-0.092238,3.6877,-0.5572,3.8686,1.8978,2.6524,2.6402,1.3884,-0.085692,-2.6483,1.1958,0.62459,-0.0023023,0.43574,1.8328,1.0565,2.5742,2.487,2.2063,1.0167,3.9934,1.6641,-1.3758,-1.8713,-1.1107,-0.30013,1.229,0.51179,1.6897,3.3352,1.7424,1.3925,1.6856,-1.4954,-0.5341,-1.1694,-1.2095,-0.8129,-0.085988,-0.78188,-1.0039,-1.5825,-1.2922,-1.3483,-0.30574,-0.70009,-0.44164,-0.6192,-2.8819,-1.1971,-1.6417,-1.8616,0.96049,-0.8515,6.1438,5.9515,10.613,3.2698,-2.6423,0.87398,-3.8435,-2.4167,-1.8816,-2.071,-2.2423,-2.0724,-2.3753,6.0318,7.1493,11.514,5.7843,8.3202,7.1575,5.3486,0.94199,-0.0075142,3.546,1.4084,1.7072,-1.5454,2.2952,1.9691,2.2088,1.3806,1.8281,-0.60573,3.6892,3.4576,3.6106,3.8094,3.5297
-0.50752,-1.901,-0.92557,0.0068573,-0.11389,-0.24289,0.76337,-2.1192,-0.74442,-1.125,-0.34384,3.0674,3.4598,2.7341,-1.1186,0.32973,3.4792,-0.75724,4.4092,4.7445,-1.1643,3.6791,3.5482,3.1493,-0.61613,-3.9803,3.3681,3.2376,-3.2361,0.11344,1.6271,0.41961,-4.0445,-4.1317,-3.6997,-2.6066,0.80154,0.59825,0.50071,-3.9513,-0.88247,-1.7103,-1.5921,1.9432,-0.075964,-0.6169,4.2422,4.731,-1.6869,-0.81039,-2.7193,-0.60576,3.7712,4.3414,2.7639,-0.84767,3.8467,-0.092238,3.6877,-0.5572,3.8686,1.8978,2.6524,2.6402,1.3884,-0.085692,-2.6483,1.1958,0.62459,-0.0023023,0.43574,1.8328,1.0565,2.5742,2.487,2.2063,1.0167,3.9934,1.6641,-1.3758,-1.8713,-1.1107,-0.30013,1.229,0.51179,1.6897,3.3352,1.7424,1.3925,1.6856,-1.4954,-0.5341,-1.1694,-1.2095,-0.8129,-0.085988,-0.78188,-1.0039,-1.5825,-1.2922,-1.3483,-0.30574,-0.70009,-0.44164,-0.6192,-2.8819,-1.1971,-1.6417,-1.8616,0.96049,-0.8515,6.1438,5.9515,10.613,3.2698,-2.6423,0.87398,-3.8435,-2.4167,-1.8816,-2.071,-2.2423,-2.0724,-2.3753,6.0318,7.1493,11.514,5.7843,8.3202,7.1575,5.3486,0.94199,-0.0075142,3.546,1.4084,1.7072,-1.5454,2.2952,1.9691,2.2088,1.3806,1.8281,-0.60573,3.6892,3.4576,3.6106,3.8094,3.5297
