1,1,13,27,45,45,47,47,53,53,53,1,1,1,7,9,11,25,31,31,31,37,37,37,51,63,1,1,3,19,19,19,23,23,43,49,59,59,59,63,1,7,17,25,27,33,1,1,1,1,5,7,9,9,11,47,49,49,49,49,49,1,1,1,5,5,7,7,9,9,17,17,25,37,37,37,45,51,57,63,63,63,1,13,13,13,49,53,53,53,1,1,1,3,3,19,19,19,23,23,23,39,43,59,59,5,5,9,45,49,49,1,5,47,1,1,7,25,35,17,37,37,57,57,1,5,7,15,41,45,55,1,1,9,13,13,17,47,47,53,53,53,1,9,9,9,49,49
2,2,14,28,46,46,48,48,54,54,54,2,2,2,8,10,12,26,32,32,32,38,38,38,52,64,2,2,4,20,20,20,24,24,44,50,60,60,60,64,2,8,18,26,28,34,2,2,2,2,6,8,10,10,12,48,50,50,50,50,50,2,2,2,6,6,8,8,10,10,18,18,26,38,38,38,46,52,58,64,64,64,2,14,14,14,50,54,54,54,2,2,2,4,4,20,20,20,24,24,24,40,44,60,60,6,6,10,46,50,50,2,6,48,2,2,8,26,36,18,38,38,58,58,2,6,8,16,42,46,56,2,2,10,14,14,18,48,48,54,54,54,2,10,10,10,50,50
3,3,15,29,47,47,49,49,55,55,55,3,3,3,9,11,13,27,33,33,33,39,39,39,53,65,3,3,5,21,21,21,25,25,45,51,61,61,61,65,3,9,19,27,29,35,3,3,3,3,7,9,11,11,13,49,51,51,51,51,51,3,3,3,7,7,9,9,11,11,19,19,27,39,39,39,47,53,59,65,65,65,3,15,15,15,51,55,55,55,3,3,3,5,5,21,21,21,25,25,25,41,45,61,61,7,7,11,47,51,51,3,7,49,3,3,9,27,37,19,39,39,59,59,3,7,9,17,43,47,57,3,3,11,15,15,19,49,49,55,55,55,3,11,11,11,51,51
4,4,16,30,48,48,50,50,56,56,56,4,4,4,10,12,14,28,34,34,34,40,40,40,54,66,4,4,6,22,22,22,26,26,46,52,62,62,62,66,4,10,20,28,30,36,4,4,4,4,8,10,12,12,14,50,52,52,52,52,52,4,4,4,8,8,10,10,12,12,20,20,28,40,40,40,48,54,60,66,66,66,4,16,16,16,52,56,56,56,4,4,4,6,6,22,22,22,26,26,26,42,46,62,62,8,8,12,48,52,52,4,8,50,4,4,10,28,38,20,40,40,60,60,4,8,10,18,44,48,58,4,4,12,16,16,20,50,50,56,56,56,4,12,12,12,52,52
5,5,17,31,49,49,51,51,57,57,57,5,5,5,11,13,15,29,35,35,35,41,41,41,55,67,5,5,7,23,23,23,27,27,47,53,63,63,63,67,5,11,21,29,31,37,5,5,5,5,9,11,13,13,15,51,53,53,53,53,53,5,5,5,9,9,11,11,13,13,21,21,29,41,41,41,49,55,61,67,67,67,5,17,17,17,53,57,57,57,5,5,5,7,7,23,23,23,27,27,27,43,47,63,63,9,9,13,49,53,53,5,9,51,5,5,11,29,39,21,41,41,61,61,5,9,11,19,45,49,59,5,5,13,17,17,21,51,51,57,57,57,5,13,13,13,53,53
6,6,18,32,50,50,52,52,58,58,58,6,6,6,12,14,16,30,36,36,36,42,42,42,56,68,6,6,8,24,24,24,28,28,48,54,64,64,64,68,6,12,22,30,32,38,6,6,6,6,10,12,14,14,16,52,54,54,54,54,54,6,6,6,10,10,12,12,14,14,22,22,30,42,42,42,50,56,62,68,68,68,6,18,18,18,54,58,58,58,6,6,6,8,8,24,24,24,28,28,28,44,48,64,64,10,10,14,50,54,54,6,10,52,6,6,12,30,40,22,42,42,62,62,6,10,12,20,46,50,60,6,6,14,18,18,22,52,52,58,58,58,6,14,14,14,54,54
7,7,19,33,51,51,53,53,59,59,59,7,7,7,13,15,17,31,37,37,37,43,43,43,57,69,7,7,9,25,25,25,29,29,49,55,65,65,65,69,7,13,23,31,33,39,7,7,7,7,11,13,15,15,17,53,55,55,55,55,55,7,7,7,11,11,13,13,15,15,23,23,31,43,43,43,51,57,63,69,69,69,7,19,19,19,55,59,59,59,7,7,7,9,9,25,25,25,29,29,29,45,49,65,65,11,11,15,51,55,55,7,11,53,7,7,13,31,41,23,43,43,63,63,7,11,13,21,47,51,61,7,7,15,19,19,23,53,53,59,59,59,7,15,15,15,55,55
8,8,20,34,52,52,54,54,60,60,60,8,8,8,14,16,18,32,38,38,38,44,44,44,58,70,8,8,10,26,26,26,30,30,50,56,66,66,66,70,8,14,24,32,34,40,8,8,8,8,12,14,16,16,18,54,56,56,56,56,56,8,8,8,12,12,14,14,16,16,24,24,32,44,44,44,52,58,64,70,70,70,8,20,20,20,56,60,60,60,8,8,8,10,10,26,26,26,30,30,30,46,50,66,66,12,12,16,52,56,56,8,12,54,8,8,14,32,42,24,44,44,64,64,8,12,14,22,48,52,62,8,8,16,20,20,24,54,54,60,60,60,8,16,16,16,56,56
9,9,21,35,53,53,55,55,61,61,61,9,9,9,15,17,19,33,39,39,39,45,45,45,59,71,9,9,11,27,27,27,31,31,51,57,67,67,67,71,9,15,25,33,35,41,9,9,9,9,13,15,17,17,19,55,57,57,57,57,57,9,9,9,13,13,15,15,17,17,25,25,33,45,45,45,53,59,65,71,71,71,9,21,21,21,57,61,61,61,9,9,9,11,11,27,27,27,31,31,31,47,51,67,67,13,13,17,53,57,57,9,13,55,9,9,15,33,43,25,45,45,65,65,9,13,15,23,49,53,63,9,9,17,21,21,25,55,55,61,61,61,9,17,17,17,57,57
10,10,22,36,54,54,56,56,62,62,62,10,10,10,16,18,20,34,40,40,40,46,46,46,60,72,10,10,12,28,28,28,32,32,52,58,68,68,68,72,10,16,26,34,36,42,10,10,10,10,14,16,18,18,20,56,58,58,58,58,58,10,10,10,14,14,16,16,18,18,26,26,34,46,46,46,54,60,66,72,72,72,10,22,22,22,58,62,62,62,10,10,10,12,12,28,28,28,32,32,32,48,52,68,68,14,14,18,54,58,58,10,14,56,10,10,16,34,44,26,46,46,66,66,10,14,16,24,50,54,64,10,10,18,22,22,26,56,56,62,62,62,10,18,18,18,58,58
