17,17,19,57,59,23,27,27,52,58,63,63,63,67,67,16,17,33,34,34,34,37,53,56,56,56,57,73,74,74,74,16,33,34,42,56,57,73,74,3,3,7,22,22,34,42,43,45,48,79,12,12,12,24,38,38,52,52,64,73,22,28,28,32,40,62,62,68,11,11,31,51,71,79,3,7,7,24,43,78,8,42,68,68,68,72,7,7,7,8,9,47,47,78,78,11,11,11,19,29,31,31,31,39,39,51,69,71,71,73,79,12,24,26,38,46,46,66,66,12,13,17,37,38,38,52,52,52,53,53,57,57,73,73,74,6,24,24,24,24,64,64,66,66,78,19,19,32,59,13,16,20,29,30,31,34,45,59,60,69,70,4,5,8,22,34,44,48,60,71,4,4,6,6,24,24,26,26,31,31,44,44,44,46,59,59,64,64,64,66,67,68,5,22,22,22,28,28,62,62,68,68,22,28,42,62,62,68,4,4,6,22,26,31,45,46,66,71,78,78,79,79,23,24,25,27,27,28,31,39,48,62,63,63,67,67,67,3,3,11,12,12,13,17,33,38,52,64,19,19,31,39,59,78,79,5,8,28,42,48,16,17,34,37,56,56,79,6,22,22,28,28,59,62,68,68,71,33,38,39,57,71,77,26,31,64,64,78
202,368,58,370,390,280,114,446,320,236,114,280,446,282,446,34,36,372,32,202,368,120,452,34,200,366,38,36,32,200,368,466,464,466,336,464,460,462,466,264,426,98,100,114,60,418,432,196,250,460,122,288,456,312,122,456,122,454,312,204,448,114,282,404,260,114,448,282,206,372,288,374,288,320,82,236,402,480,70,290,352,350,102,268,434,236,250,262,428,414,80,264,426,302,456,124,292,458,44,412,44,212,378,126,458,458,246,42,378,168,346,108,130,114,442,200,366,146,284,376,212,462,214,210,378,44,210,376,48,214,130,296,130,296,298,364,114,186,280,448,114,282,116,200,222,156,324,324,324,494,492,494,494,494,494,492,492,494,494,494,494,6,6,6,6,6,6,6,6,6,30,300,300,466,50,218,52,242,122,454,32,134,466,466,288,454,52,218,384,50,84,470,216,28,196,362,28,364,196,364,28,194,302,136,148,136,304,138,134,466,134,134,448,442,300,134,448,276,378,392,292,474,52,386,408,220,386,470,96,346,468,470,52,218,50,218,386,224,400,40,44,58,48,130,334,44,58,354,70,236,70,154,238,42,374,492,494,494,494,494,300,296,298,384,132,300,248,198,52,384,218,386,344,52,50,218,174,36,288,290,202,212,452,368,250,188,200,124
0.47622,0.42426,0.53454,0.47622,0.53454,0.47622,0.47622,0.47622,0.53454,0.47622,0.47622,0.47622,0.47622,0.47622,0.42426,0.42426,0.47622,0.47622,0.47622,0.42426,0.42426,0.47622,0.47622,0.42426,0.42426,0.47622,0.47622,0.47622,0.47622,0.47622,0.42426,0.42426,0.47622,0.47622,0.47622,0.42426,0.42426,0.42426,0.42426,0.47622,0.47622,0.47622,0.53454,0.47622,0.47622,0.47622,0.47622,0.42426,0.47622,0.47622,0.42426,0.47622,0.47622,0.42426,0.47622,0.47622,0.47622,0.47622,0.42426,0.47622,0.47622,0.47622,0.47622,0.47622,0.53454,0.47622,0.47622,0.47622,0.53454,0.53454,0.47622,0.53454,0.47622,0.47622,0.53454,0.47622,0.47622,0.47622,0.47622,0.47622,0.53454,0.53454,0.53454,0.53454,0.53454,0.47622,0.53454,0.47622,0.42426,0.47622,0.47622,0.47622,0.47622,0.53454,0.47622,0.47622,0.53454,0.47622,0.42426,0.47622,0.42426,0.47622,0.42426,0.53454,0.53454,0.47622,0.47622,0.42426,0.47622,0.53454,0.47622,0.53454,0.53454,0.47622,0.53454,0.53454,0.47622,0.42426,0.53454,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.42426,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.42426,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.53454,0.53454,0.47622,0.47622,0.42426,0.47622,0.42426,0.53454,0.42426,0.42426,0.42426,0.47622,0.53454,0.53454,0.47622,0.42426,0.42426,0.42426,0.47622,0.53454,0.47622,0.42426,0.47622,0.53454,0.47622,0.53454,0.53454,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.42426,0.42426,0.47622,0.53454,0.47622,0.53454,0.42426,0.47622,0.47622,0.47622,0.47622,0.47622,0.42426,0.42426,0.42426,0.47622,0.42426,0.42426,0.47622,0.47622,0.47622,0.42426,0.47622,0.47622,0.47622,0.47622,0.53454,0.47622,0.47622,0.47622,0.47622,0.53454,0.47622,0.47622,0.47622,0.53454,0.47622,0.47622,0.47622,0.53454,0.47622,0.53454,0.47622,0.53454,0.47622,0.42426,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.42426,0.47622,0.42426,0.47622,0.47622,0.47622,0.53454,0.47622,0.47622,0.53454,0.47622,0.53454,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.53454,0.42426,0.42426,0.47622,0.42426,0.47622,0.47622,0.42426,0.47622,0.42426,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.47622,0.42426,0.53454,0.47622,0.47622,0.47622,0.53454,0.47622,0.42426,0.53454,0.47622
5.7018,5.0797,6.4,5.7018,6.4,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.0797,5.7018,5.7018,5.7018,5.0797,5.0797,5.7018,5.7018,5.0797,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.0797,5.7018,5.7018,5.7018,5.0797,5.0797,5.0797,5.0797,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.0797,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,5.7018,6.4,6.4,5.7018,6.4,5.7018,5.7018,6.4,5.7018,5.7018,5.7018,5.7018,5.7018,6.4,6.4,6.4,6.4,6.4,5.7018,6.4,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,6.4,5.7018,5.0797,5.7018,5.0797,5.7018,5.0797,6.4,6.4,5.7018,5.7018,5.0797,5.7018,6.4,5.7018,6.4,6.4,5.7018,6.4,6.4,5.7018,5.0797,6.4,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,6.4,6.4,5.7018,5.7018,5.0797,5.7018,5.0797,6.4,5.0797,5.0797,5.0797,5.7018,6.4,6.4,5.7018,5.0797,5.0797,5.0797,5.7018,6.4,5.7018,5.0797,5.7018,6.4,5.7018,6.4,6.4,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.0797,5.7018,6.4,5.7018,6.4,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.0797,5.0797,5.7018,5.0797,5.0797,5.7018,5.7018,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,5.7018,6.4,5.7018,6.4,5.7018,6.4,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,5.7018,5.0797,5.7018,5.7018,5.7018,6.4,5.7018,5.7018,6.4,5.7018,6.4,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,6.4,5.0797,5.0797,5.7018,5.0797,5.7018,5.7018,5.0797,5.7018,5.0797,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.7018,5.0797,6.4,5.7018,5.7018,5.7018,6.4,5.7018,5.0797,6.4,5.7018
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4994,2.6653,-4.9497,3.0408,-5.2647,3.703,2.8148,1.9421,0.84719,1.9915,3.3529,2.9251,2.3273,2.6645,2.5588,1.1489,3.2966,0.41062,1.1162,0.48278,1.0771,0.77803,2.2439,1.6488,1.9472,1.676,3.1289,0.60583,1.4384,1.7843,0.82412,-2.1258,1.2135,3.5945,1.2621,-2.1402,-0.54521,2.7941,2.9355,-1.0991,-0.81809,2.6579,-3.204,2.9923,-0.37001,0.30883,-1.5127,2.0663,-0.36894,5.1243,2.9278,2.0714,3.4352,2.7011,3.3116,3.1885,1.6984,1.5975,2.7861,0.42984,3.3807,3.6439,4.4947,0.32748,0.0040539,3.3321,3.6705,4.4584,4.7608,4.4896,3.4992,4.763,3.9759,3.974,1.258,0.84631,1.513,2.5644,-1.8886,1.5372,-3.8487,-2.7131,-4.643,-4.2405,-4.0077,0.46973,-2.1631,1.8298,1.2138,-1.9165,1.3033,1.9314,0.4127,-5.0951,3.0779,3.1726,3.7664,3.8029,3.6853,1.2707,3.6212,2.6986,3.1728,4.6987,4.8664,3.2602,0.90681,3.3199,3.9774,-2.6921,3.7908,1.2147,-1.0257,-0.35309,-1.176,2.5816,3.1606,3.1191,0.96609,4.1753,5.528,-0.46623,-2.0181,-0.70791,-0.5435,4.7627,4.514,5.3369,4.8457,4.398,0.93335,-0.069109,2.8459,2.8616,3.3502,2.0357,4.1437,1.3501,4.1704,4.683,4.0747,4.1809,-0.65141,-1.1186,1.64,2.7849,2.4094,0.23199,2.3474,9.2752,3.7278,11.469,7.9072,9.5654,12.393,8.6857,6.7021,8.8897,11.385,7.4393,8.8087,6.1901,7.9307,8.3605,8.2779,5.5766,6.6765,9.5078,9.9765,10.361,3.2876,4.5941,1.622,2.1351,2.8721,3.7787,-0.82816,1.7527,3.1884,3.354,4.2792,4.9293,4.5527,0.86595,-0.094091,1.1002,3.7598,3.6201,3.4678,0.76202,0.80843,-0.2915,-1.3425,1.4841,-0.67668,-1.0731,1.2053,-0.34435,0.93443,-0.34786,-0.21071,1.6364,-1.2115,-0.93503,-2.659,-0.71936,-1.1349,-0.18827,4.4637,5.2565,1.7349,-1.0572,0.5599,-2.5196,4.672,0.64148,-0.34339,-2.2911,-0.16127,0.28785,5.0074,-6.0368,3.5161,3.8543,0.27172,1.9623,2.7878,-0.48399,-0.5071,3.5238,4.0744,0.79845,3.5625,3.4975,3.6578,2.9899,3.4806,-1.0478,-1.1859,3.8102,4.4986,-0.7089,4.0199,1.1022,-1.2744,2.5966,-0.73442,1.8525,2.7483,3.2217,-0.97169,3.923,2.8398,0.97639,0.68129,6.2598,6.5017,3.6605,4.4302,7.7983,-1.3743,0.61793,2.2004,-0.1557,-2.595,-1.9323,0.055433,1.5708,4.0427,3.586,2.867,3.9832,1.6729,4.1465,3.7727,4.4902,1.8783,0.61686,1.1657,4.2443,3.3088,4.095,1.6569,-1.8012,2.3491,2.9576,-0.68637,4.1678
2.4994,2.6653,-4.9497,3.0408,-5.2647,3.703,2.8148,1.9421,0.84719,1.9915,3.3529,2.9251,2.3273,2.6645,2.5588,1.1489,3.2966,0.41062,1.1162,0.48278,1.0771,0.77803,2.2439,1.6488,1.9472,1.676,3.1289,0.60583,1.4384,1.7843,0.82412,-2.1258,1.2135,3.5945,1.2621,-2.1402,-0.54521,2.7941,2.9355,-1.0991,-0.81809,2.6579,-3.204,2.9923,-0.37001,0.30883,-1.5127,2.0663,-0.36894,5.1243,2.9278,2.0714,3.4352,2.7011,3.3116,3.1885,1.6984,1.5975,2.7861,0.42984,3.3807,3.6439,4.4947,0.32748,0.0040539,3.3321,3.6705,4.4584,4.7608,4.4896,3.4992,4.763,3.9759,3.974,1.258,0.84631,1.513,2.5644,-1.8886,1.5372,-3.8487,-2.7131,-4.643,-4.2405,-4.0077,0.46973,-2.1631,1.8298,1.2138,-1.9165,1.3033,1.9314,0.4127,-5.0951,3.0779,3.1726,3.7664,3.8029,3.6853,1.2707,3.6212,2.6986,3.1728,4.6987,4.8664,3.2602,0.90681,3.3199,3.9774,-2.6921,3.7908,1.2147,-1.0257,-0.35309,-1.176,2.5816,3.1606,3.1191,0.96609,4.1753,5.528,-0.46623,-2.0181,-0.70791,-0.5435,4.7627,4.514,5.3369,4.8457,4.398,0.93335,-0.069109,2.8459,2.8616,3.3502,2.0357,4.1437,1.3501,4.1704,4.683,4.0747,4.1809,-0.65141,-1.1186,1.64,2.7849,2.4094,0.23199,2.3474,9.2752,3.7278,11.469,7.9072,9.5654,12.393,8.6857,6.7021,8.8897,11.385,7.4393,8.8087,6.1901,7.9307,8.3605,8.2779,5.5766,6.6765,9.5078,9.9765,10.361,3.2876,4.5941,1.622,2.1351,2.8721,3.7787,-0.82816,1.7527,3.1884,3.354,4.2792,4.9293,4.5527,0.86595,-0.094091,1.1002,3.7598,3.6201,3.4678,0.76202,0.80843,-0.2915,-1.3425,1.4841,-0.67668,-1.0731,1.2053,-0.34435,0.93443,-0.34786,-0.21071,1.6364,-1.2115,-0.93503,-2.659,-0.71936,-1.1349,-0.18827,4.4637,5.2565,1.7349,-1.0572,0.5599,-2.5196,4.672,0.64148,-0.34339,-2.2911,-0.16127,0.28785,5.0074,-6.0368,3.5161,3.8543,0.27172,1.9623,2.7878,-0.48399,-0.5071,3.5238,4.0744,0.79845,3.5625,3.4975,3.6578,2.9899,3.4806,-1.0478,-1.1859,3.8102,4.4986,-0.7089,4.0199,1.1022,-1.2744,2.5966,-0.73442,1.8525,2.7483,3.2217,-0.97169,3.923,2.8398,0.97639,0.68129,6.2598,6.5017,3.6605,4.4302,7.7983,-1.3743,0.61793,2.2004,-0.1557,-2.595,-1.9323,0.055433,1.5708,4.0427,3.586,2.867,3.9832,1.6729,4.1465,3.7727,4.4902,1.8783,0.61686,1.1657,4.2443,3.3088,4.095,1.6569,-1.8012,2.3491,2.9576,-0.68637,4.1678
2.4994,2.6653,-4.9497,3.0408,-5.2647,3.703,2.8148,1.9421,0.84719,1.9915,3.3529,2.9251,2.3273,2.6645,2.5588,1.1489,3.2966,0.41062,1.1162,0.48278,1.0771,0.77803,2.2439,1.6488,1.9472,1.676,3.1289,0.60583,1.4384,1.7843,0.82412,-2.1258,1.2135,3.5945,1.2621,-2.1402,-0.54521,2.7941,2.9355,-1.0991,-0.81809,2.6579,-3.204,2.9923,-0.37001,0.30883,-1.5127,2.0663,-0.36894,5.1243,2.9278,2.0714,3.4352,2.7011,3.3116,3.1885,1.6984,1.5975,2.7861,0.42984,3.3807,3.6439,4.4947,0.32748,0.0040539,3.3321,3.6705,4.4584,4.7608,4.4896,3.4992,4.763,3.9759,3.974,1.258,0.84631,1.513,2.5644,-1.8886,1.5372,-3.8487,-2.7131,-4.643,-4.2405,-4.0077,0.46973,-2.1631,1.8298,1.2138,-1.9165,1.3033,1.9314,0.4127,-5.0951,3.0779,3.1726,3.7664,3.8029,3.6853,1.2707,3.6212,2.6986,3.1728,4.6987,4.8664,3.2602,0.90681,3.3199,3.9774,-2.6921,3.7908,1.2147,-1.0257,-0.35309,-1.176,2.5816,3.1606,3.1191,0.96609,4.1753,5.528,-0.46623,-2.0181,-0.70791,-0.5435,4.7627,4.514,5.3369,4.8457,4.398,0.93335,-0.069109,2.8459,2.8616,3.3502,2.0357,4.1437,1.3501,4.1704,4.683,4.0747,4.1809,-0.65141,-1.1186,1.64,2.7849,2.4094,0.23199,2.3474,9.2752,3.7278,11.469,7.9072,9.5654,12.393,8.6857,6.7021,8.8897,11.385,7.4393,8.8087,6.1901,7.9307,8.3605,8.2779,5.5766,6.6765,9.5078,9.9765,10.361,3.2876,4.5941,1.622,2.1351,2.8721,3.7787,-0.82816,1.7527,3.1884,3.354,4.2792,4.9293,4.5527,0.86595,-0.094091,1.1002,3.7598,3.6201,3.4678,0.76202,0.80843,-0.2915,-1.3425,1.4841,-0.67668,-1.0731,1.2053,-0.34435,0.93443,-0.34786,-0.21071,1.6364,-1.2115,-0.93503,-2.659,-0.71936,-1.1349,-0.18827,4.4637,5.2565,1.7349,-1.0572,0.5599,-2.5196,4.672,0.64148,-0.34339,-2.2911,-0.16127,0.28785,5.0074,-6.0368,3.5161,3.8543,0.27172,1.9623,2.7878,-0.48399,-0.5071,3.5238,4.0744,0.79845,3.5625,3.4975,3.6578,2.9899,3.4806,-1.0478,-1.1859,3.8102,4.4986,-0.7089,4.0199,1.1022,-1.2744,2.5966,-0.73442,1.8525,2.7483,3.2217,-0.97169,3.923,2.8398,0.97639,0.68129,6.2598,6.5017,3.6605,4.4302,7.7983,-1.3743,0.61793,2.2004,-0.1557,-2.595,-1.9323,0.055433,1.5708,4.0427,3.586,2.867,3.9832,1.6729,4.1465,3.7727,4.4902,1.8783,0.61686,1.1657,4.2443,3.3088,4.095,1.6569,-1.8012,2.3491,2.9576,-0.68637,4.1678
