1,1,1,1,15,25,41,41,41,53,1,1,1,1,1,7,33,37,37,37,37,37,63,63,5,17,41,45,1,1,1,7,29,31,31,31,37,59,1,1,1,11,23,31,63,63,5,45,1,1,39,39,41,1,1,33,37,37,37,63,1,1,9,31,49,63,1,1,1,23,39,47,61,63,1,1,1,1,25,25,27,33,33,35,35,1,1,5,11,11,11,23,25,25,31,43,45,51,51,51,51,11,11,11,11,15,15,23,31,33,51,51,51,1,1,1,1,1,11,15,29,29,31,31,35,35,51,1,1,1,37,39,39,39,49,53,63,1,1,15,55,3,11,19,33,39,43,59,59,63,63,1,1,5,5,25,25,45,45,49,1,1,1,41,41,1,1,1,5,23,33,33,33,39,41,61,1,9,11,25,29,29,31,51,1,1,15,33,33,1,3,3,19,33,43,1,7,13,23,23,37,47,59,59,63,1,1,1,3,37,1,9,33,49,63,63,1,1,11,11,23,25,25,25,51,51,63,1,1,25,25,27,37,1,1,1,29,31
2,2,2,2,16,26,42,42,42,54,2,2,2,2,2,8,34,38,38,38,38,38,64,64,6,18,42,46,2,2,2,8,30,32,32,32,38,60,2,2,2,12,24,32,64,64,6,46,2,2,40,40,42,2,2,34,38,38,38,64,2,2,10,32,50,64,2,2,2,24,40,48,62,64,2,2,2,2,26,26,28,34,34,36,36,2,2,6,12,12,12,24,26,26,32,44,46,52,52,52,52,12,12,12,12,16,16,24,32,34,52,52,52,2,2,2,2,2,12,16,30,30,32,32,36,36,52,2,2,2,38,40,40,40,50,54,64,2,2,16,56,4,12,20,34,40,44,60,60,64,64,2,2,6,6,26,26,46,46,50,2,2,2,42,42,2,2,2,6,24,34,34,34,40,42,62,2,10,12,26,30,30,32,52,2,2,16,34,34,2,4,4,20,34,44,2,8,14,24,24,38,48,60,60,64,2,2,2,4,38,2,10,34,50,64,64,2,2,12,12,24,26,26,26,52,52,64,2,2,26,26,28,38,2,2,2,30,32
3,3,3,3,17,27,43,43,43,55,3,3,3,3,3,9,35,39,39,39,39,39,65,65,7,19,43,47,3,3,3,9,31,33,33,33,39,61,3,3,3,13,25,33,65,65,7,47,3,3,41,41,43,3,3,35,39,39,39,65,3,3,11,33,51,65,3,3,3,25,41,49,63,65,3,3,3,3,27,27,29,35,35,37,37,3,3,7,13,13,13,25,27,27,33,45,47,53,53,53,53,13,13,13,13,17,17,25,33,35,53,53,53,3,3,3,3,3,13,17,31,31,33,33,37,37,53,3,3,3,39,41,41,41,51,55,65,3,3,17,57,5,13,21,35,41,45,61,61,65,65,3,3,7,7,27,27,47,47,51,3,3,3,43,43,3,3,3,7,25,35,35,35,41,43,63,3,11,13,27,31,31,33,53,3,3,17,35,35,3,5,5,21,35,45,3,9,15,25,25,39,49,61,61,65,3,3,3,5,39,3,11,35,51,65,65,3,3,13,13,25,27,27,27,53,53,65,3,3,27,27,29,39,3,3,3,31,33
4,4,4,4,18,28,44,44,44,56,4,4,4,4,4,10,36,40,40,40,40,40,66,66,8,20,44,48,4,4,4,10,32,34,34,34,40,62,4,4,4,14,26,34,66,66,8,48,4,4,42,42,44,4,4,36,40,40,40,66,4,4,12,34,52,66,4,4,4,26,42,50,64,66,4,4,4,4,28,28,30,36,36,38,38,4,4,8,14,14,14,26,28,28,34,46,48,54,54,54,54,14,14,14,14,18,18,26,34,36,54,54,54,4,4,4,4,4,14,18,32,32,34,34,38,38,54,4,4,4,40,42,42,42,52,56,66,4,4,18,58,6,14,22,36,42,46,62,62,66,66,4,4,8,8,28,28,48,48,52,4,4,4,44,44,4,4,4,8,26,36,36,36,42,44,64,4,12,14,28,32,32,34,54,4,4,18,36,36,4,6,6,22,36,46,4,10,16,26,26,40,50,62,62,66,4,4,4,6,40,4,12,36,52,66,66,4,4,14,14,26,28,28,28,54,54,66,4,4,28,28,30,40,4,4,4,32,34
5,5,5,5,19,29,45,45,45,57,5,5,5,5,5,11,37,41,41,41,41,41,67,67,9,21,45,49,5,5,5,11,33,35,35,35,41,63,5,5,5,15,27,35,67,67,9,49,5,5,43,43,45,5,5,37,41,41,41,67,5,5,13,35,53,67,5,5,5,27,43,51,65,67,5,5,5,5,29,29,31,37,37,39,39,5,5,9,15,15,15,27,29,29,35,47,49,55,55,55,55,15,15,15,15,19,19,27,35,37,55,55,55,5,5,5,5,5,15,19,33,33,35,35,39,39,55,5,5,5,41,43,43,43,53,57,67,5,5,19,59,7,15,23,37,43,47,63,63,67,67,5,5,9,9,29,29,49,49,53,5,5,5,45,45,5,5,5,9,27,37,37,37,43,45,65,5,13,15,29,33,33,35,55,5,5,19,37,37,5,7,7,23,37,47,5,11,17,27,27,41,51,63,63,67,5,5,5,7,41,5,13,37,53,67,67,5,5,15,15,27,29,29,29,55,55,67,5,5,29,29,31,41,5,5,5,33,35
6,6,6,6,20,30,46,46,46,58,6,6,6,6,6,12,38,42,42,42,42,42,68,68,10,22,46,50,6,6,6,12,34,36,36,36,42,64,6,6,6,16,28,36,68,68,10,50,6,6,44,44,46,6,6,38,42,42,42,68,6,6,14,36,54,68,6,6,6,28,44,52,66,68,6,6,6,6,30,30,32,38,38,40,40,6,6,10,16,16,16,28,30,30,36,48,50,56,56,56,56,16,16,16,16,20,20,28,36,38,56,56,56,6,6,6,6,6,16,20,34,34,36,36,40,40,56,6,6,6,42,44,44,44,54,58,68,6,6,20,60,8,16,24,38,44,48,64,64,68,68,6,6,10,10,30,30,50,50,54,6,6,6,46,46,6,6,6,10,28,38,38,38,44,46,66,6,14,16,30,34,34,36,56,6,6,20,38,38,6,8,8,24,38,48,6,12,18,28,28,42,52,64,64,68,6,6,6,8,42,6,14,38,54,68,68,6,6,16,16,28,30,30,30,56,56,68,6,6,30,30,32,42,6,6,6,34,36
7,7,7,7,21,31,47,47,47,59,7,7,7,7,7,13,39,43,43,43,43,43,69,69,11,23,47,51,7,7,7,13,35,37,37,37,43,65,7,7,7,17,29,37,69,69,11,51,7,7,45,45,47,7,7,39,43,43,43,69,7,7,15,37,55,69,7,7,7,29,45,53,67,69,7,7,7,7,31,31,33,39,39,41,41,7,7,11,17,17,17,29,31,31,37,49,51,57,57,57,57,17,17,17,17,21,21,29,37,39,57,57,57,7,7,7,7,7,17,21,35,35,37,37,41,41,57,7,7,7,43,45,45,45,55,59,69,7,7,21,61,9,17,25,39,45,49,65,65,69,69,7,7,11,11,31,31,51,51,55,7,7,7,47,47,7,7,7,11,29,39,39,39,45,47,67,7,15,17,31,35,35,37,57,7,7,21,39,39,7,9,9,25,39,49,7,13,19,29,29,43,53,65,65,69,7,7,7,9,43,7,15,39,55,69,69,7,7,17,17,29,31,31,31,57,57,69,7,7,31,31,33,43,7,7,7,35,37
8,8,8,8,22,32,48,48,48,60,8,8,8,8,8,14,40,44,44,44,44,44,70,70,12,24,48,52,8,8,8,14,36,38,38,38,44,66,8,8,8,18,30,38,70,70,12,52,8,8,46,46,48,8,8,40,44,44,44,70,8,8,16,38,56,70,8,8,8,30,46,54,68,70,8,8,8,8,32,32,34,40,40,42,42,8,8,12,18,18,18,30,32,32,38,50,52,58,58,58,58,18,18,18,18,22,22,30,38,40,58,58,58,8,8,8,8,8,18,22,36,36,38,38,42,42,58,8,8,8,44,46,46,46,56,60,70,8,8,22,62,10,18,26,40,46,50,66,66,70,70,8,8,12,12,32,32,52,52,56,8,8,8,48,48,8,8,8,12,30,40,40,40,46,48,68,8,16,18,32,36,36,38,58,8,8,22,40,40,8,10,10,26,40,50,8,14,20,30,30,44,54,66,66,70,8,8,8,10,44,8,16,40,56,70,70,8,8,18,18,30,32,32,32,58,58,70,8,8,32,32,34,44,8,8,8,36,38
9,9,9,9,23,33,49,49,49,61,9,9,9,9,9,15,41,45,45,45,45,45,71,71,13,25,49,53,9,9,9,15,37,39,39,39,45,67,9,9,9,19,31,39,71,71,13,53,9,9,47,47,49,9,9,41,45,45,45,71,9,9,17,39,57,71,9,9,9,31,47,55,69,71,9,9,9,9,33,33,35,41,41,43,43,9,9,13,19,19,19,31,33,33,39,51,53,59,59,59,59,19,19,19,19,23,23,31,39,41,59,59,59,9,9,9,9,9,19,23,37,37,39,39,43,43,59,9,9,9,45,47,47,47,57,61,71,9,9,23,63,11,19,27,41,47,51,67,67,71,71,9,9,13,13,33,33,53,53,57,9,9,9,49,49,9,9,9,13,31,41,41,41,47,49,69,9,17,19,33,37,37,39,59,9,9,23,41,41,9,11,11,27,41,51,9,15,21,31,31,45,55,67,67,71,9,9,9,11,45,9,17,41,57,71,71,9,9,19,19,31,33,33,33,59,59,71,9,9,33,33,35,45,9,9,9,37,39
10,10,10,10,24,34,50,50,50,62,10,10,10,10,10,16,42,46,46,46,46,46,72,72,14,26,50,54,10,10,10,16,38,40,40,40,46,68,10,10,10,20,32,40,72,72,14,54,10,10,48,48,50,10,10,42,46,46,46,72,10,10,18,40,58,72,10,10,10,32,48,56,70,72,10,10,10,10,34,34,36,42,42,44,44,10,10,14,20,20,20,32,34,34,40,52,54,60,60,60,60,20,20,20,20,24,24,32,40,42,60,60,60,10,10,10,10,10,20,24,38,38,40,40,44,44,60,10,10,10,46,48,48,48,58,62,72,10,10,24,64,12,20,28,42,48,52,68,68,72,72,10,10,14,14,34,34,54,54,58,10,10,10,50,50,10,10,10,14,32,42,42,42,48,50,70,10,18,20,34,38,38,40,60,10,10,24,42,42,10,12,12,28,42,52,10,16,22,32,32,46,56,68,68,72,10,10,10,12,46,10,18,42,58,72,72,10,10,20,20,32,34,34,34,60,60,72,10,10,34,34,36,46,10,10,10,38,40
11,11,11,11,25,35,51,51,51,63,11,11,11,11,11,17,43,47,47,47,47,47,73,73,15,27,51,55,11,11,11,17,39,41,41,41,47,69,11,11,11,21,33,41,73,73,15,55,11,11,49,49,51,11,11,43,47,47,47,73,11,11,19,41,59,73,11,11,11,33,49,57,71,73,11,11,11,11,35,35,37,43,43,45,45,11,11,15,21,21,21,33,35,35,41,53,55,61,61,61,61,21,21,21,21,25,25,33,41,43,61,61,61,11,11,11,11,11,21,25,39,39,41,41,45,45,61,11,11,11,47,49,49,49,59,63,73,11,11,25,65,13,21,29,43,49,53,69,69,73,73,11,11,15,15,35,35,55,55,59,11,11,11,51,51,11,11,11,15,33,43,43,43,49,51,71,11,19,21,35,39,39,41,61,11,11,25,43,43,11,13,13,29,43,53,11,17,23,33,33,47,57,69,69,73,11,11,11,13,47,11,19,43,59,73,73,11,11,21,21,33,35,35,35,61,61,73,11,11,35,35,37,47,11,11,11,39,41
12,12,12,12,26,36,52,52,52,64,12,12,12,12,12,18,44,48,48,48,48,48,74,74,16,28,52,56,12,12,12,18,40,42,42,42,48,70,12,12,12,22,34,42,74,74,16,56,12,12,50,50,52,12,12,44,48,48,48,74,12,12,20,42,60,74,12,12,12,34,50,58,72,74,12,12,12,12,36,36,38,44,44,46,46,12,12,16,22,22,22,34,36,36,42,54,56,62,62,62,62,22,22,22,22,26,26,34,42,44,62,62,62,12,12,12,12,12,22,26,40,40,42,42,46,46,62,12,12,12,48,50,50,50,60,64,74,12,12,26,66,14,22,30,44,50,54,70,70,74,74,12,12,16,16,36,36,56,56,60,12,12,12,52,52,12,12,12,16,34,44,44,44,50,52,72,12,20,22,36,40,40,42,62,12,12,26,44,44,12,14,14,30,44,54,12,18,24,34,34,48,58,70,70,74,12,12,12,14,48,12,20,44,60,74,74,12,12,22,22,34,36,36,36,62,62,74,12,12,36,36,38,48,12,12,12,40,42
13,13,13,13,27,37,53,53,53,65,13,13,13,13,13,19,45,49,49,49,49,49,75,75,17,29,53,57,13,13,13,19,41,43,43,43,49,71,13,13,13,23,35,43,75,75,17,57,13,13,51,51,53,13,13,45,49,49,49,75,13,13,21,43,61,75,13,13,13,35,51,59,73,75,13,13,13,13,37,37,39,45,45,47,47,13,13,17,23,23,23,35,37,37,43,55,57,63,63,63,63,23,23,23,23,27,27,35,43,45,63,63,63,13,13,13,13,13,23,27,41,41,43,43,47,47,63,13,13,13,49,51,51,51,61,65,75,13,13,27,67,15,23,31,45,51,55,71,71,75,75,13,13,17,17,37,37,57,57,61,13,13,13,53,53,13,13,13,17,35,45,45,45,51,53,73,13,21,23,37,41,41,43,63,13,13,27,45,45,13,15,15,31,45,55,13,19,25,35,35,49,59,71,71,75,13,13,13,15,49,13,21,45,61,75,75,13,13,23,23,35,37,37,37,63,63,75,13,13,37,37,39,49,13,13,13,41,43
