0.015417,0.0055928,0.049898,0.035669,0.048547,0.00051362,0.051845,0.013168,0.0035377,0.014109,0.02236,0.024119,0.0028731,0.21941,0.0018844,0.010543,0.017196,0,0.018044,0.010088,0.055139,0.019564,0.052872,0.038736,0.0040558,0.15075,0.061315,0.24292,0.0040263,0
0.21152,0.27221,0.232,0.31552,0.22076,0.27787,0.19606,0.31308,0.29226,0.26783,0.29176,0.24959,0.21935,0.30817,0.29736,0.18741,0.33085,0,0.30368,0.28687,0.29947,0.28626,0.29068,0.331,0.28714,0.33795,0.31625,0.22429,0.2053,0.30225
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.042012,0.11477,0.0060786,0.0089052,0.053574,0.10363,0.047571,0.057895,0.12708,0.04574,0.19497,0.036674,0.071077,0.030858,0.23943,0.0038302,0.067599,0,0.01393,0.028861,0.020251,0.046977,0.018023,0.029798,0.11874,0.024729,0.023414,0.034219,0.025882,0.17112
0.28189,0.27613,0.2882,0.31552,0.28062,0.1962,0.28095,0.33363,0.29042,0.29754,0.25589,0.29979,0.25039,0.31425,0.29658,0.25163,0.33378,0,0.3074,0.28512,0.29947,0.31366,0.29615,0.331,0.28714,0.33795,0.31625,0.29495,0.24282,0.30225
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
