0.084583,0.06855,0.15857,0.010325,0.01743,0.017078,0.015789,0.033313,9.9693e-05,0,0.017496,0.00091937,0.053265,0.13865,0.0058259
0.29885,0.31223,0.33167,0.28823,0.28096,0.24651,0.25938,0.18118,0.31656,0,0.23062,0.27996,0.32309,0.23716,0.29813
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050694,0.013517,0.034637,0.14316,0.015366,0.036762,0.10409,0.0094086,0.20429,0,0.03505,0.10678,0.031629,0.024942,0.27037
0.29885,0.32752,0.33183,0.29004,0.299,0.2609,0.27784,0.25164,0.31656,0,0.30747,0.28204,0.33409,0.29194,0.29275
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.043033,0.0055248,0.014984,0.14201,0.013448,0.033799,0.10233,0.0057036,0.20429,0,0.032116,0.10668,0.028032,0.0095207,0.26973
0.24309,0.29616,0.33183,0.14787,0.1971,0.13618,0.076584,0.12992,0.19284,0,0.15226,0.10219,0.23412,0.22572,0.092384
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
