1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,11,11,13,13,13,13,13,13,13,13,13,15,17,17,17,17,17,17,19,19,19,19,19,19,23,23,23,23,23,23,23,25,25,25,25,27,27,27,27,31,31,31,31,33,33,35,37,37,37,37,37,37,37,37,37,39,39,41,43,43,45,45,45,45,45,45,47,47,47,47,47,47,47,49,49,49,49,49,49,49,49,49,49,49,51,51,51,53,53,53,53,53,53,53,53,53,55,57,57,57,59,59,59,59,59,59,63,63,63,63,63
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,12,12,14,14,14,14,14,14,14,14,14,16,18,18,18,18,18,18,20,20,20,20,20,20,24,24,24,24,24,24,24,26,26,26,26,28,28,28,28,32,32,32,32,34,34,36,38,38,38,38,38,38,38,38,38,40,40,42,44,44,46,46,46,46,46,46,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,50,52,52,52,54,54,54,54,54,54,54,54,54,56,58,58,58,60,60,60,60,60,60,64,64,64,64,64
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,13,13,15,15,15,15,15,15,15,15,15,17,19,19,19,19,19,19,21,21,21,21,21,21,25,25,25,25,25,25,25,27,27,27,27,29,29,29,29,33,33,33,33,35,35,37,39,39,39,39,39,39,39,39,39,41,41,43,45,45,47,47,47,47,47,47,49,49,49,49,49,49,49,51,51,51,51,51,51,51,51,51,51,51,53,53,53,55,55,55,55,55,55,55,55,55,57,59,59,59,61,61,61,61,61,61,65,65,65,65,65
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,14,14,16,16,16,16,16,16,16,16,16,18,20,20,20,20,20,20,22,22,22,22,22,22,26,26,26,26,26,26,26,28,28,28,28,30,30,30,30,34,34,34,34,36,36,38,40,40,40,40,40,40,40,40,40,42,42,44,46,46,48,48,48,48,48,48,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,52,54,54,54,56,56,56,56,56,56,56,56,56,58,60,60,60,62,62,62,62,62,62,66,66,66,66,66
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,15,15,17,17,17,17,17,17,17,17,17,19,21,21,21,21,21,21,23,23,23,23,23,23,27,27,27,27,27,27,27,29,29,29,29,31,31,31,31,35,35,35,35,37,37,39,41,41,41,41,41,41,41,41,41,43,43,45,47,47,49,49,49,49,49,49,51,51,51,51,51,51,51,53,53,53,53,53,53,53,53,53,53,53,55,55,55,57,57,57,57,57,57,57,57,57,59,61,61,61,63,63,63,63,63,63,67,67,67,67,67
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,16,16,18,18,18,18,18,18,18,18,18,20,22,22,22,22,22,22,24,24,24,24,24,24,28,28,28,28,28,28,28,30,30,30,30,32,32,32,32,36,36,36,36,38,38,40,42,42,42,42,42,42,42,42,42,44,44,46,48,48,50,50,50,50,50,50,52,52,52,52,52,52,52,54,54,54,54,54,54,54,54,54,54,54,56,56,56,58,58,58,58,58,58,58,58,58,60,62,62,62,64,64,64,64,64,64,68,68,68,68,68
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,17,17,19,19,19,19,19,19,19,19,19,21,23,23,23,23,23,23,25,25,25,25,25,25,29,29,29,29,29,29,29,31,31,31,31,33,33,33,33,37,37,37,37,39,39,41,43,43,43,43,43,43,43,43,43,45,45,47,49,49,51,51,51,51,51,51,53,53,53,53,53,53,53,55,55,55,55,55,55,55,55,55,55,55,57,57,57,59,59,59,59,59,59,59,59,59,61,63,63,63,65,65,65,65,65,65,69,69,69,69,69
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,18,18,20,20,20,20,20,20,20,20,20,22,24,24,24,24,24,24,26,26,26,26,26,26,30,30,30,30,30,30,30,32,32,32,32,34,34,34,34,38,38,38,38,40,40,42,44,44,44,44,44,44,44,44,44,46,46,48,50,50,52,52,52,52,52,52,54,54,54,54,54,54,54,56,56,56,56,56,56,56,56,56,56,56,58,58,58,60,60,60,60,60,60,60,60,60,62,64,64,64,66,66,66,66,66,66,70,70,70,70,70
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,19,19,21,21,21,21,21,21,21,21,21,23,25,25,25,25,25,25,27,27,27,27,27,27,31,31,31,31,31,31,31,33,33,33,33,35,35,35,35,39,39,39,39,41,41,43,45,45,45,45,45,45,45,45,45,47,47,49,51,51,53,53,53,53,53,53,55,55,55,55,55,55,55,57,57,57,57,57,57,57,57,57,57,57,59,59,59,61,61,61,61,61,61,61,61,61,63,65,65,65,67,67,67,67,67,67,71,71,71,71,71
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,20,20,22,22,22,22,22,22,22,22,22,24,26,26,26,26,26,26,28,28,28,28,28,28,32,32,32,32,32,32,32,34,34,34,34,36,36,36,36,40,40,40,40,42,42,44,46,46,46,46,46,46,46,46,46,48,48,50,52,52,54,54,54,54,54,54,56,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,58,60,60,60,62,62,62,62,62,62,62,62,62,64,66,66,66,68,68,68,68,68,68,72,72,72,72,72
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,21,21,23,23,23,23,23,23,23,23,23,25,27,27,27,27,27,27,29,29,29,29,29,29,33,33,33,33,33,33,33,35,35,35,35,37,37,37,37,41,41,41,41,43,43,45,47,47,47,47,47,47,47,47,47,49,49,51,53,53,55,55,55,55,55,55,57,57,57,57,57,57,57,59,59,59,59,59,59,59,59,59,59,59,61,61,61,63,63,63,63,63,63,63,63,63,65,67,67,67,69,69,69,69,69,69,73,73,73,73,73
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,22,22,24,24,24,24,24,24,24,24,24,26,28,28,28,28,28,28,30,30,30,30,30,30,34,34,34,34,34,34,34,36,36,36,36,38,38,38,38,42,42,42,42,44,44,46,48,48,48,48,48,48,48,48,48,50,50,52,54,54,56,56,56,56,56,56,58,58,58,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,62,62,62,64,64,64,64,64,64,64,64,64,66,68,68,68,70,70,70,70,70,70,74,74,74,74,74
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,23,23,25,25,25,25,25,25,25,25,25,27,29,29,29,29,29,29,31,31,31,31,31,31,35,35,35,35,35,35,35,37,37,37,37,39,39,39,39,43,43,43,43,45,45,47,49,49,49,49,49,49,49,49,49,51,51,53,55,55,57,57,57,57,57,57,59,59,59,59,59,59,59,61,61,61,61,61,61,61,61,61,61,61,63,63,63,65,65,65,65,65,65,65,65,65,67,69,69,69,71,71,71,71,71,71,75,75,75,75,75
